FECHA,CONCEPTO,PRECIO_PROMEDIO
2016-07-01,comida_fuera,3536.3979591836733
2016-07-01,gas_licuado,13272.661256544501
2016-07-01,mantencion_hogar,12890.429864253394
2016-07-01,parafina,465.24285714285713
2016-07-01,taxi,2447.8333333333335
2016-08-01,alojamiento,52120.620689655174
2016-08-01,comida_fuera,3433.8469387755104
2016-08-01,gas_licuado,12850.741884816754
2016-08-01,mantencion_hogar,12786.447963800905
2016-08-01,parafina,406.18392857142857
2016-08-01,taxi,2461.1105263157892
2016-09-01,alojamiento,52076.1724137931
2016-09-01,comida_fuera,3466.704081632653
2016-09-01,gas_licuado,12859.20994764398
2016-09-01,mantencion_hogar,12343.266968325792
2016-09-01,parafina,400.2107142857143
2016-09-01,taxi,2463.075438596491
2016-10-01,alojamiento,53249.224137931036
2016-10-01,comida_fuera,3236.4489795918366
2016-10-01,gas_licuado,12741.973821989528
2016-10-01,mantencion_hogar,12802.87330316742
2016-10-01,parafina,377.63392857142856
2016-10-01,taxi,2454.098245614035
2016-11-01,alojamiento,52552.8275862069
2016-11-01,comida_fuera,3244.3571428571427
2016-11-01,gas_licuado,12917.747643979057
2016-11-01,mantencion_hogar,12795.076923076924
2016-11-01,parafina,381.68392857142857
2016-11-01,taxi,2479.6263157894737
2016-12-01,alojamiento,53013.74137931035
2016-12-01,comida_fuera,3251.5
2016-12-01,gas_licuado,13059.520942408377
2016-12-01,mantencion_hogar,12673.855203619909
2016-12-01,parafina,380.97499999999997
2016-12-01,taxi,2455.1526315789474
2017-01-01,alojamiento,59739.61111111111
2017-01-01,comida_fuera,4462.915492957746
2017-01-01,gas_licuado,15304.197041420117
2017-01-01,mantencion_hogar,15625.525714285714
2017-01-01,parafina,454.04893617021276
2017-01-01,taxi,2576.7827586206895
2017-02-01,alojamiento,61015.75925925926
2017-02-01,comida_fuera,4372.774647887324
2017-02-01,gas_licuado,15766.543195266271
2017-02-01,mantencion_hogar,15683.697142857143
2017-02-01,parafina,428.20212765957444
2017-02-01,taxi,2486.286206896552
2017-03-01,alojamiento,61303.09259259259
2017-03-01,comida_fuera,4391.788732394366
2017-03-01,gas_licuado,15750.227810650887
2017-03-01,mantencion_hogar,15429.411428571428
2017-03-01,parafina,440.6765957446808
2017-03-01,taxi,2558.541379310345
2017-04-01,alojamiento,60401.11111111111
2017-04-01,comida_fuera,4645.450704225352
2017-04-01,gas_licuado,15430.279881656803
2017-04-01,mantencion_hogar,14716.628571428571
2017-04-01,parafina,426.4531914893617
2017-04-01,taxi,2642.113793103448
2017-05-01,alojamiento,62350.61111111111
2017-05-01,comida_fuera,4384.183098591549
2017-05-01,gas_licuado,15396.094082840236
2017-05-01,mantencion_hogar,15248.36
2017-05-01,parafina,476.0404255319148
2017-05-01,taxi,2618.8275862068967
2017-06-01,alojamiento,63093.46296296296
2017-06-01,comida_fuera,4149.3239436619715
2017-06-01,gas_licuado,15765.243195266272
2017-06-01,mantencion_hogar,14907.085714285715
2017-06-01,parafina,497.02553191489363
2017-06-01,taxi,2630.4517241379313
2017-07-01,alojamiento,63587.46296296296
2017-07-01,comida_fuera,4441.225352112676
2017-07-01,gas_licuado,15599.884615384615
2017-07-01,mantencion_hogar,14884.56
2017-07-01,parafina,485.3106382978723
2017-07-01,taxi,2611.427586206896
2017-08-01,alojamiento,63783.0
2017-08-01,comida_fuera,4266.577464788732
2017-08-01,gas_licuado,15984.128402366865
2017-08-01,mantencion_hogar,15501.548571428571
2017-08-01,parafina,538.063829787234
2017-08-01,taxi,2625.7103448275866
2017-09-01,alojamiento,63433.81481481482
2017-09-01,comida_fuera,4194.042253521126
2017-09-01,gas_licuado,15801.734319526628
2017-09-01,mantencion_hogar,15418.068571428572
2017-09-01,parafina,527.4893617021277
2017-09-01,taxi,2623.7689655172417
2017-10-01,alojamiento,66534.22222222222
2017-10-01,comida_fuera,4335.56338028169
2017-10-01,gas_licuado,16205.930769230768
2017-10-01,mantencion_hogar,15502.354285714286
2017-10-01,parafina,496.92127659574464
2017-10-01,taxi,2630.5931034482755
2017-11-01,alojamiento,64272.37037037037
2017-11-01,comida_fuera,4244.577464788732
2017-11-01,gas_licuado,16452.331360946744
2017-11-01,mantencion_hogar,15688.611428571428
2017-11-01,parafina,476.6297872340425
2017-11-01,taxi,2638.310344827586
2017-12-01,alojamiento,63915.648148148146
2017-12-01,comida_fuera,4322.7464788732395
2017-12-01,gas_licuado,16467.89526627219
2017-12-01,mantencion_hogar,15649.342857142858
2017-12-01,parafina,486.8702127659574
2017-12-01,taxi,2570.5620689655175
2018-01-01,alojamiento,61524.9649122807
2018-01-01,comida_fuera,4022.3571428571427
2018-01-01,gas_licuado,16390.36809815951
2018-01-01,mantencion_hogar,17309.77358490566
2018-01-01,parafina,530.4177777777778
2018-01-01,taxi,2556.962068965517
2018-02-01,alojamiento,61033.56140350877
2018-02-01,comida_fuera,4233.785714285715
2018-02-01,gas_licuado,15853.620245398773
2018-02-01,mantencion_hogar,17132.559748427673
2018-02-01,parafina,544.4466666666666
2018-02-01,taxi,2498.537931034483
2018-03-01,alojamiento,60440.42105263158
2018-03-01,comida_fuera,4417.357142857143
2018-03-01,gas_licuado,16002.117791411045
2018-03-01,mantencion_hogar,17522.880503144654
2018-03-01,parafina,528.6422222222221
2018-03-01,taxi,2496.5172413793102
2018-04-01,alojamiento,59669.43859649123
2018-04-01,comida_fuera,4617.357142857143
2018-04-01,gas_licuado,15084.161963190183
2018-04-01,mantencion_hogar,17504.188679245282
2018-04-01,parafina,552.8844444444444
2018-04-01,taxi,2486.0689655172414
2018-05-01,alojamiento,49518.82456140351
2018-05-01,comida_fuera,4640.928571428572
2018-05-01,gas_licuado,15570.774846625765
2018-05-01,mantencion_hogar,17538.654088050316
2018-05-01,parafina,632.5444444444445
2018-05-01,taxi,2562.044827586207
2018-06-01,alojamiento,56793.771929824565
2018-06-01,comida_fuera,4873.357142857143
2018-06-01,gas_licuado,15960.301840490798
2018-06-01,mantencion_hogar,17612.421383647797
2018-06-01,parafina,656.2955555555556
2018-06-01,taxi,2687.896551724138
2018-07-01,alojamiento,58404.59649122807
2018-07-01,comida_fuera,4904.785714285715
2018-07-01,gas_licuado,16273.579754601227
2018-07-01,mantencion_hogar,17599.05031446541
2018-07-01,parafina,653.9022222222222
2018-07-01,taxi,2767.9655172413795
2018-08-01,alojamiento,52490.754385964916
2018-08-01,comida_fuera,4917.642857142857
2018-08-01,gas_licuado,16779.26073619632
2018-08-01,mantencion_hogar,17803.83647798742
2018-08-01,parafina,654.4622222222222
2018-08-01,taxi,2769.2413793103447
